,airline_name,airline_iata,airline_icao,callsign,airline_country
0,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
2,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
3,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
4,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
5,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
6,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
7,American Airlines,AA,AAL,AMERICAN,United States
8,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
9,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
10,Alaska Airlines,AS,ASA, Inc.,ALASKA
11,Air Canada,AC,ACA,AIR CANADA,Canada
12,China Eastern Airlines,MU,CES,CHINA EASTERN,China
13,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
14,Alaska Airlines,AS,ASA, Inc.,ALASKA
15,Air France,AF,AFR,AIRFRANS,France
16,Oman Air,WY,OMA,OMAN AIR,Oman
17,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
18,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
19,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
20,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
21,Hainan Airlines,HU,CHH,HAINAN,China
22,Maya Island Air,MW,MYD,MYLAND,Belize
23,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
24,Maya Island Air,MW,MYD,MYLAND,Belize
25,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
26,American Airlines,AA,AAL,AMERICAN,United States
27,China Eastern Airlines,MU,CES,CHINA EASTERN,China
28,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
29,JetBlue Airways,B6,JBU,JETBLUE,United States
30,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
31,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
32,China Eastern Airlines,MU,CES,CHINA EASTERN,China
33,Spring Airlines,9S,CQH,AIR SPRING,China
34,Hainan Airlines,HU,CHH,HAINAN,China
35,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
36,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
37,Cape Air,9K,KAP,CAIR,United States
38,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
39,Southwest Airlines,WN,SWA,SOUTHWEST,United States
40,Maya Island Air,MW,MYD,MYLAND,Belize
41,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
42,Air Canada,AC,ACA,AIR CANADA,Canada
43,Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
44,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
45,Maya Island Air,MW,MYD,MYLAND,Belize
46,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
47,Shandong Airlines,SC,CDG,SHANDONG,China
48,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
49,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
50,Turkish Airlines,TK,THY,TURKAIR,Turkey
51,Spring Airlines,9S,CQH,AIR SPRING,China
52,Maya Island Air,MW,MYD,MYLAND,Belize
53,Delta Air Lines,DL,DAL,DELTA,United States
54,Qatar Airways,QR,QTR,QATARI,Qatar
55,China Eastern Airlines,MU,CES,CHINA EASTERN,China
56,China Eastern Airlines,MU,CES,CHINA EASTERN,China
57,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
58,Hainan Airlines,HU,CHH,HAINAN,China
59,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
60,Skymark Airlines,BC,SKY,SKYMARK,Japan
61,Delta Air Lines,DL,DAL,DELTA,United States
62,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
63,China United Airlines,HR,CUA,LIANHANG,China
64,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
65,Qatar Airways,QR,QTR,QATARI,Qatar
66,Spring Airlines,9S,CQH,AIR SPRING,China
67,Southwest Airlines,WN,SWA,SOUTHWEST,United States
68,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
69,Sichuan Airlines,3U,CSC,SI CHUAN,China
70,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
71,JetBlue Airways,B6,JBU,JETBLUE,United States
72,American Airlines,AA,AAL,AMERICAN,United States
73,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
74,Sichuan Airlines,3U,CSC,SI CHUAN,China
75,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
76,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
77,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
78,JetBlue Airways,B6,JBU,JETBLUE,United States
79,Wings Air,IW,WON,WINGS ABADI,Indonesia
80,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
81,Cape Air,9K,KAP,CAIR,United States
82,Turkish Airlines,TK,THY,TURKAIR,Turkey
83,United Airlines,UA,UAL,UNITED,United States
84,Turkish Airlines,TK,THY,TURKAIR,Turkey
85,Air China,CA,CCA,AIR CHINA,China
86,Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
87,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
88,Tropic Air,PM,TOS,TROPISER,Belize
89,Sichuan Airlines,3U,CSC,SI CHUAN,China
90,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
91,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
92,Qatar Airways,QR,QTR,QATARI,Qatar
93,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
94,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
95,Spring Airlines,9S,CQH,AIR SPRING,China
96,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
97,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
98,Qatar Airways,QR,QTR,QATARI,Qatar
99,Spring Airlines,9S,CQH,AIR SPRING,China
100,Skymark Airlines,BC,SKY,SKYMARK,Japan
101,China Eastern Airlines,MU,CES,CHINA EASTERN,China
102,Spring Airlines,9S,CQH,AIR SPRING,China
103,Tropic Air,PM,TOS,TROPISER,Belize
104,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
105,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
106,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
107,American Airlines,AA,AAL,AMERICAN,United States
108,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
109,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
110,Turkish Airlines,TK,THY,TURKAIR,Turkey
111,Skymark Airlines,BC,SKY,SKYMARK,Japan
112,Maya Island Air,MW,MYD,MYLAND,Belize
113,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
114,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
115,Southwest Airlines,WN,SWA,SOUTHWEST,United States
116,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
117,Oman Air,WY,OMA,OMAN AIR,Oman
118,Hainan Airlines,HU,CHH,HAINAN,China
119,Delta Air Lines,DL,DAL,DELTA,United States
120,Oman Air,WY,OMA,OMAN AIR,Oman
121,Air France,AF,AFR,AIRFRANS,France
122,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
123,Allegiant Air,G4,AAY,ALLEGIANT,United States
124,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
125,Maya Island Air,MW,MYD,MYLAND,Belize
126,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
127,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
128,Shandong Airlines,SC,CDG,SHANDONG,China
129,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
130,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
131,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
132,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
133,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
134,Allegiant Air,G4,AAY,ALLEGIANT,United States
135,Sichuan Airlines,3U,CSC,SI CHUAN,China
136,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
137,Oman Air,WY,OMA,OMAN AIR,Oman
138,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
139,Wings Air,IW,WON,WINGS ABADI,Indonesia
140,Sichuan Airlines,3U,CSC,SI CHUAN,China
141,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
142,Tropic Air,PM,TOS,TROPISER,Belize
143,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
144,Skymark Airlines,BC,SKY,SKYMARK,Japan
145,Air France,AF,AFR,AIRFRANS,France
146,Nok Air,DD,NOK,NOK AIR,Thailand
147,Shandong Airlines,SC,CDG,SHANDONG,China
148,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
149,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
150,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
151,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
152,Spring Airlines,9S,CQH,AIR SPRING,China
153,China Eastern Airlines,MU,CES,CHINA EASTERN,China
154,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
155,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
156,JetBlue Airways,B6,JBU,JETBLUE,United States
157,Southwest Airlines,WN,SWA,SOUTHWEST,United States
