,origin_airport_name,origin_airport_city,origin_airport_country,origin_airport_iata,origin_icao,origin_lat,origin_long,origin_altitude,origin_timezone
0,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.47,-73.74,118.0,America/Toronto
1,Longdongbao Airport,Guiyang,China,KWE,ZUGY,26.54,106.8,3736.0,Asia/Shanghai
2,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,MMPR,20.68,-105.25,23.0,America/Mexico_City
3,El Tepual Airport,Puerto Montt,Chile,PMC,SCTE,-41.44,-73.09,294.0,America/Santiago
4,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI,KBWI,39.18,-76.67,146.0,America/New_York
5,Platov International Airport,Rostov,Russia,ROV,URRP,47.49,39.92,213.0,Europe/Moscow
6,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.91,-97.24,783.0,America/Winnipeg
7,Ontario International Airport,Ontario,United States,ONT,KONT,34.06,-117.6,944.0,America/Los_Angeles
8,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,TJSJ,18.44,-66.0,9.0,America/Puerto_Rico
9,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.31,-113.58,2373.0,America/Edmonton
10,Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.57,77.1,777.0,Asia/Calcutta
11,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.31,-113.58,2373.0,America/Edmonton
12,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,GYE,SEGU,-2.16,-79.88,19.0,America/Guayaquil
13,Quanzhou Jinjiang International Airport,Quanzhou,China,JJN,ZSQZ,24.8,118.59,0.0,Asia/Shanghai
14,Toulouse-Blagnac Airport,Toulouse,France,TLS,LFBO,43.63,1.3599999999999999,499.0,Europe/Paris
15,,,,,,,,,
16,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,SJW,ZBSJ,38.28,114.7,233.0,Asia/Shanghai
17,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.24,6.11,1411.0,Europe/Paris
18,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.75,101.71,69.0,Asia/Kuala_Lumpur
19,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,IGR,SARI,-25.74,-54.47,916.0,America/Cordoba
